,year,actual_time_taken
0,2013,0 days 02:17:13.712533
1,1993,0 days 02:15:35.481806
2,2002,0 days 02:13:39.915690
3,2008,0 days 02:13:03.770202
4,2022,0 days 02:13:02.003698
5,1995,0 days 02:13:00.053404
6,2016,0 days 02:12:50.458354
7,2011,0 days 02:12:19.240745
8,2020,0 days 02:11:58.890476
9,2012,0 days 02:11:47.533684
10,2021,0 days 02:11:44.547326
11,2009,0 days 02:11:18.622594
12,2007,0 days 02:11:08.918642
13,2010,0 days 02:11:07.808240
14,1999,0 days 02:11:05.102046
15,1996,0 days 02:11:00.084763
16,2000,0 days 02:10:55.241739
17,2019,0 days 02:10:40.488303
18,1994,0 days 02:10:38.998756
19,2018,0 days 02:10:37.013920
20,2001,0 days 02:10:34.039781
21,2004,0 days 02:10:29.774281
22,2006,0 days 02:10:15.623512
23,2014,0 days 02:10:05.558445
24,1997,0 days 02:09:46.934207
25,2015,0 days 02:09:36.903552
26,1992,0 days 02:09:32.062921
27,2005,0 days 02:09:00.174073
28,2017,0 days 02:08:39.348444
29,2003,0 days 02:08:36.218084
30,1998,0 days 02:08:06.538161
